Question_EN,Question_TE,OptionA_EN,OptionA_TE,OptionB_EN,OptionB_TE,OptionC_EN,OptionC_TE,OptionD_EN,OptionD_TE,Answer
"Who was the first President of the Andhra Mahasabha?",ఆంధ్ర మహాసభ మొదటి అధ్యక్షుడు ఎవరు?,"Konda Venkatappayya",కొండా వెంకటప్పయ్య,"Madapati Hanumantha Rao",మాడపాటి హనుమంత రావు,"Pattabhi Sitaramayya",పట్టాభి సీతారామయ్య,"Tanguturi Prakasam",తంగుటూరి ప్రకాశం,B
"The Chirala-Perala No-Tax Campaign was led by?",చిరాల-పెరాల పన్ను నిరాకరణ ఉద్యమానికి ఎవరు నాయకత్వం వహించారు?,"Duggirala Gopalakrishnayya",దుగ్గిరాల గోపాలకృష్ణయ్య,"Konda Venkatappayya",కొండా వెంకటప్పయ్య,"Ayyadevara Kaleswara Rao",అయ్యదేవర కాళేశ్వరరావు,"Pattabhi Sitaramayya",పట్టాభి సీతారామయ్య,A
"The Andhra Jateeya Kalasala was established by?",ఆంధ్ర జాతీయ కళాశాల ఎవరు స్థాపించారు?,"Konda Venkatappayya",కొండా వెంకటప్పయ్య,"C.R. Reddy",సి.ఆర్. రెడ్డి,"Bulusu Sambamurti",బులుసు సాంబమూర్తి,All of the above,పైవన్నీ,D
"Who was known as Deshabhimani?",దేశాభిమానిగా ఎవరిని పిలుస్తారు?,"Tanguturi Prakasam",తంగుటూరి ప్రకాశం,"Konda Venkatappayya",కొండా వెంకటప్పయ్య,"Gadicherla Harisarvottama Rao",గాడిచెర్ల హరిసర్వోత్తమ రావు,"N.G. Ranga",ఎన్.జి. రంగ,C
"The Ryot Rythanga Rakshanai Samithi was founded by?",రయోత్ రైతాంగ రక్షణ సమితి ఎవరు స్థాపించారు?,"N.G. Ranga",ఎన్.జి. రంగ,"Ravi Narayana Reddy",రవి నారాయణ రెడ్డి,"Suravaram Pratapa Reddy",సురవరం ప్రతాప రెడ్డి,All of the above,పైవన్నీ,A
"Who gave the slogan Mahatma Gandhi ki Jai?",మహాత్మా గాంధీ కీ జై నినాదం ఎవరు ఇచ్చారు?,"Sarojini Naidu",సరోజినీ నాయుడు,"Pattabhi Sitaramayya",పట్టాభి సీతారామయ్య,"Duggirala Gopalakrishnayya",దుగ్గిరాల గోపాలకృష్ణయ్య,"Tanguturi Prakasam",తంగుటూరి ప్రకాశం,A
"Who participated in the Dandi March from Andhra?",ఆంధ్ర నుండి దండి యాత్రలో ఎవరు పాల్గొన్నారు?,"Pattabhi Sitaramayya",పట్టాభి సీతారామయ్య,"Tanguturi Prakasam",తంగుటూరి ప్రకాశం,"Konda Venkatappayya",కొండా వెంకటప్పయ్య,"Duggirala Gopalakrishnayya",దుగ్గిరాల గోపాలకృష్ణయ్య,B
"The Quit India Movement in Andhra was led by?",ఆంధ్రలో క్విట్ ఇండియా ఉద్యమానికి ఎవరు నాయకత్వం వహించారు?,"Ravi Narayana Reddy",రవి నారాయణ రెడ్డి,"Tanguturi Prakasam",తంగుటూరి ప్రకాశం,"Pattabhi Sitaramayya",పట్టాభి సీతారామయ్య,All of them,వారందరూ,D
"The Andhra Communist Party was founded in?",ఆంధ్ర కమ్యూనిస్ట్ పార్టీ ఎప్పుడు స్థాపించబడింది?,1934,1934,1939,1939,1942,1942,1948,1948,B
"Potti Sriramulu began his fast unto death on?",పొట్టి శ్రీరాములు తన మరణ ఉపవాసం ఎప్పుడు ప్రారంభించారు?,"October 19 1952","అక్టోబర్ 19 1952","October 20 1952","అక్టోబర్ 20 1952","November 1 1952","నవంబర్ 1 1952","December 15 1952","డిసెంబర్ 15 1952",A
"Potti Sriramulu died on?",పొట్టి శ్రీరాములు ఎప్పుడు మరణించారు?,"December 14 1952","డిసెంబర్ 14 1952","December 15 1952","డిసెంబర్ 15 1952","December 16 1952","డిసెంబర్ 16 1952","December 17 1952","డిసెంబర్ 17 1952",C
"The Andhra State was carved out from?",ఆంధ్ర రాష్ట్రం ఎక్కడ నుండి విడదీయబడింది?,"Madras Presidency",మద్రాసు ప్రెసిడెన్సీ,"Hyderabad State",హైదరాబాద్ రాష్ట్రం,"Bombay Presidency",బొంబాయి ప్రెసిడెన్సీ,"Mysore State",మైసూర్ రాష్ట్రం,A
"Who was the Chief Minister of Madras when Andhra State was formed?",ఆంధ్ర రాష్ట్రం ఏర్పడినప్పుడు మద్రాసు ముఖ్యమంత్రి ఎవరు?,"C. Rajagopalachari",సి. రాజగోపాలాచారి,"K. Kamaraj",కె. కామరాజ్,"O.P. Ramaswamy Reddiyar",ఓ.పి. రామస్వామి రెడ్డియార్,"T. Prakasam",టి. ప్రకాశం,C
"The first capital of Andhra State was?",ఆంధ్ర రాష్ట్రం మొదటి రాజధాని ఏది?,Kurnool,కర్నూలు,Guntur,గుంటూరు,Vijayawada,విజయవాడ,Nellore,నెల్లూరు,A
"How many districts were in Andhra State when it was formed in 1953?",1953లో ఏర్పడినప్పుడు ఆంధ్ర రాష్ట్రంలో ఎన్ని జిల్లాలు ఉన్నాయి?,7,7,9,9,11,11,13,13,B
"The States Reorganisation Commission was headed by?",రాష్ట్రాల పునర్వ్యవస్థీకరణ కమిషన్‌కు ఎవరు అధ్యక్షత వహించారు?,"Fazl Ali",ఫజల్ అలీ,"K.M. Panikkar",కె.ఎం. పణిక్కర్,"H.N. Kunzru",హెచ్.ఎన్. కుంజ్రూ,"Pattabhi Sitaramayya",పట్టాభి సీతారామయ్య,A
"The States Reorganisation Commission submitted its report in?",రాష్ట్రాల పునర్వ్యవస్థీకరణ కమిషన్ తన నివేదికను ఎప్పుడు సమర్పించింది?,1953,1953,1955,1955,1956,1956,1957,1957,B
"Andhra Pradesh was formed by merging?",ఆంధ్రప్రదేశ్ దేనిని విలీనం చేసి ఏర్పడింది?,"Andhra State and Telangana",ఆంధ్ర రాష్ట్రం మరియు తెలంగాణ,"Andhra State and Rayalaseema",ఆంధ్ర రాష్ట్రం మరియు రాయలసీమ,"Coastal Andhra and Rayalaseema",తీర ఆంధ్ర మరియు రాయలసీమ,"Andhra and Hyderabad State",ఆంధ్ర మరియు హైదరాబాద్ రాష్ట్రం,A
"The first Chief Minister of united Andhra Pradesh was?",ఐక్య ఆంధ్రప్రదేశ్ మొదటి ముఖ్యమంత్రి ఎవరు?,"Tanguturi Prakasam",తంగుటూరి ప్రకాశం,"Neelam Sanjiva Reddy",నీలం సంజీవ రెడ్డి,"Bezawada Gopala Reddy",బెజవాడ గోపాల రెడ్డి,"Kasu Brahmananda Reddy",కాసు బ్రహ్మానంద రెడ్డి,B
"The Gentlemen's Agreement was signed in?",జెంటిల్మెన్ ఒప్పందం ఎప్పుడు సంతకం చేయబడింది?,1953,1953,1956,1956,1969,1969,1972,1972,B
"The first agitation for separate Telangana was in?",ప్రత్యేక తెలంగాణ కోసం మొదటి ఆందోళన ఎప్పుడు?,1969,1969,1972,1972,1985,1985,2000,2000,A
"The Mulki Rules were related to?",ములుకీ నियమాలు దేనికి సంబంధించినవి?,"Employment in government",ప్రభుత్వంలో ఉపాధి,"Land reforms",భూ సంస్కరణలు,"Education policy",విద్యా విధానం,"Tax collection",పన్ను వసూలు,A
"The Jai Andhra Movement was in response to?",జై ఆంధ్ర ఉద్యమం దేనికి ప్రతిస్పందనగా జరిగింది?,"Telangana agitation",తెలంగాణ ఆందోళన,"Hindi imposition",హిందీ రోపణ,"Tax increase",పన్ను పెరుగుదల,"Drought",కరువు,A
"The Six Point Formula was given by?",ఆరు పాయింట్ల ఫార్ములా ఎవరు ఇచ్చారు?,"Indira Gandhi",ఇందిరా గాంధీ,"P.V. Narasimha Rao",పి.వి. నరసింహ రావు,"Morarji Desai",మోరార్జీ దేశాయ్,"Rajiv Gandhi",రాజీవ్ గాంధీ,B
"Telangana State was formed on?",తెలంగాణ రాష్ట్రం ఎప్పుడు ఏర్పడింది?,"June 1 2014","జూన్ 1 2014","June 2 2014","జూన్ 2 2014","July 1 2014","జూలై 1 2014","August 15 2014","ఆగస్టు 15 2014",B
"The first Chief Minister of Telangana was?",తెలంగాణ మొదటి ముఖ్యమంత్రి ఎవరు?,"K. Chandrashekar Rao",కె. చంద్రశేఖర రావు,"A. Revanth Reddy",ఎ. రేవంత్ రెడ్డి,"T. Harish Rao",టి. హరీష్ రావు,"Etela Rajender",ఎటెల రాజేందర్,A
"After bifurcation the residuary state of Andhra Pradesh was left with how many districts?",విభజన తర్వాత మిగిలిన ఆంధ్రప్రదేశ్ రాష్ట్రానికి ఎన్ని జిల్లాలు మిగిలాయి?,10,10,11,11,13,13,15,15,C
"The AP Reorganisation Act was passed in?",AP పునర్వ్యవస్థీకరణ చట్టం ఎప్పుడు ఆమోదించబడింది?,2013,2013,2014,2014,2015,2015,2016,2016,B
"The Visakhapatnam Steel Plant was established in?",విశాఖపట్నం ఉక్కు కర్మాగారం ఎప్పుడు స్థాపించబడింది?,1970,1970,1982,1982,1992,1992,2000,2000,B
"Which is the largest irrigation project in Andhra Pradesh?",ఆంధ్రప్రదేశ్‌లో అతిపెద్ద నీటిపారుదల ప్రాజెక్ట్ ఏది?,"Nagarjuna Sagar",నాగార్జున సాగర్,Srisailam,శ్రీశైలం,Polavaram,పోలవరం,"Prakasam Barrage",ప్రకాశం బ్యారేజ్,A
"The Green Revolution in AP was most successful during?",AP లో హరిత విప్లవం అత్యంత విజయవంతమైనది ఎప్పుడు?,1960s,1960ల,1970s,1970ల,1980s,1980ల,1990s,1990ల,B
"The first IT park in Andhra Pradesh was established at?",ఆంధ్రప్రదేశ్‌లో మొదటి IT పార్క్ ఎక్కడ స్థాపించబడింది?,Visakhapatnam,విశాఖపట్నం,Vijayawada,విజయవాడ,Hyderabad,హైదరాబాద్,Tirupati,తిరుపతి,C
"The Andhra Pradesh High Court was established in?",ఆంధ్రప్రదేశ్ హైకోర్టు ఎప్పుడు స్థాపించబడింది?,1953,1953,1954,1954,1956,1956,1958,1958,C
"Which crop is known as White Gold in AP?",AP లో ఏ పంటను తెల్ల బంగారం అని పిలుస్తారు?,Rice,వరి,Cotton,పత్తి,Sugarcane,చెరకు,Tobacco,పొగాకు,B
"The Simhachalam temple is dedicated to?",సింహాచలం దేవాలయం ఎవరికి అంకితం చేయబడింది?,"Lord Vishnu",విష్ణువు,"Lord Shiva",శివుడు,"Lord Brahma",బ్రహ్మ,"Goddess Durga",దుర్గాదేవి,A
"Which city is known as the Visakha of the East?",తూర్పు విశాఖగా ఏ నగరాన్ని పిలుస్తారు?,Kakinada,కాకినాడ,Rajahmundry,రాజమండ్రి,Machilipatnam,మచిలీపట్నం,Visakhapatnam,విశాఖపట్నం,D
"The Kadapa basin is famous for?",కడప బేసిన్ దేనికి ప్రసిద్ధి చెందింది?,Coal,బొగ్గు,Barytes,బారైట్స్,Uranium,యురేనియం,Gold,బంగారం,B
"AP State Skill Development Corporation was established in?",AP రాష్ట్ర నైపుణ్య అభివృద్ధి సంస్థ ఎప్పుడు స్థాపించబడింది?,2013,2013,2014,2014,2015,2015,2016,2016,D
"The first expressway in AP connects?",AP లో మొదటి ఎక్స్‌ప్రెస్ వే దేనిని కలుప్తుంది?,"Vijayawada-Hyderabad",విజయవాడ-హైదరాబాద్,"Vijayawada-Chennai",విజయవాడ-చెన్నై,"Visakhapatnam-Vijayawada",విశాఖపట్నం-విజయవాడ,"Tirupati-Chennai",తిరుపతి-చెన్నై,B
"Which district has the highest literacy rate in AP?",AP లో అత్యధిక అక్షరాస్యత రేటు కలిగిన జిల్లా ఏది?,Krishna,కృష్ణ,Visakhapatnam,విశాఖపట్నం,"East Godavari",తూర్పు గోదావరి,"West Godavari",పశ్చిమ గోదావరి,A
"The Gandikota Fort is located on the banks of?",గండికోట కోట ఏ నది ఒడ్డున ఉంది?,Krishna,కృష్ణ,Godavari,గోదావరి,Pennar,పెన్నార్,Tungabhadra,తుంగభద్ర,C
"The fishing harbour at Bhavanapadu is in which district?",భవనపాడు మత్స్య నౌకాశ్రయం ఏ జిల్లాలో ఉంది?,Srikakulam,శ్రీకాకుళం,Vizianagaram,విజయనగరం,Visakhapatnam,విశాఖపట్నం,"East Godavari",తూర్పు గోదావరి,A
"Which place is called as the Rice Bowl of Andhra Pradesh?",ఆంధ్రప్రదేశ్ వరి గిన్నెగా ఏ ప్రదేశాన్ని పిలుస్తారు?,"Godavari Delta",గోదావరి డెల్టా,"Krishna Delta",కృష్ణా డెల్టా,"Both A and B",A మరియు B రెండూ,Rayalaseema,రాయలసీమ,C
"The Petroleum Chemicals and Petrochemicals Investment Region is located at?",పెట్రోలియం కెమికల్స్ మరియు పెట్రోకెమికల్స్ ఇన్వెస్ట్‌మెంట్ రీజియన్ ఎక్కడ ఉంది?,Kakinada,కాకినాడ,Visakhapatnam,విశాఖపట్నం,Vijayawada,విజయవాడ,Tirupati,తిరుపతి,B
"The Dugarajapatnam port is located in which district?",దుగరాజపట్నం ఓడరేవు ఏ జిల్లాలో ఉంది?,Nellore,నెల్లూరు,Prakasam,ప్రకాశం,Guntur,గుంటూరు,Krishna,కృష్ణ,A
"The Uppada Jamdani sarees are famous in which district?",ఉప్పాడ జామ్దానీ చీరలు ఏ జిల్లాలో ప్రసిద్ధి చెందాయి?,"East Godavari",తూర్పు గోదావరి,"West Godavari",పశ్చిమ గోదావరి,Krishna,కృష్ణా,Visakhapatnam,విశాఖపట్నం,A
"The Etikoppaka toys are made of?",ఎతికొప్పాక బొమ్మలు దేనితో తయారు చేస్తారు?,Wood,కలప,Clay,మట్టి,Metal,లోహం,Plastic,ప్లాస్టిక్,A
"Which scheme provides pension to weavers in AP?",AP లో నేత కార్మికులకు పెన్షన్ అందించే పథకం ఏది?,NTR Bharosa,NTR భరోసా,Nethanna Nestham,నేతన్న నేస్తం,YSR Nethanna Nestham,YSR నేతన్న నేస్తం,Chandranna Bima,చంద్రన్న బీమా,C
"The Andhra Pradesh State Industrial Development Corporation was established in?",ఆంధ్రప్రదేశ్ రాష్ట్ర పారిశ్రామిక అభివృద్ధి సంస్థ ఎప్పుడు స్థాపించబడింది?,1960,1960,1965,1965,1970,1970,1975,1975,A
"Which fruit is AP the largest producer of in India?",భారతదేశంలో AP అతిపెద్ద ఉత్పత్తిదారుగా ఉన్న పండు ఏది?,Mango,మామిడి,Banana,అరటి,Cashew,జీడి,Grapes,ద్రాక్ష,A
